Nomber of atoms =  6
Atoms =  ['O', 'N', 'CH3', 'C', 'H', 'H']
Valence electrons =  [6, 5, 1, 4, 1, 1]
Fixed electrons =  [[0, 0]]
Good initial graph No.0!
Good goal graph!

 Generated No. and Nodes:
  225,  [[0, 2], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [3, 3], [3, 5]]
  226,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 2], [1, 3], [3, 3], [3, 5]]
  227,  [[0, 0], [0, 2], [0, 3], [1, 1], [1, 1], [1, 3], [1, 3], [3, 4]]
  228,  [[0, 2], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [1, 3], [5, 5]]
  229,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 1], [1, 2], [1, 3], [3, 3]]
  230,  [[0, 0], [0, 0], [0, 3], [1, 1], [1, 2], [1, 3], [1, 3], [3, 4]]
  231,  [[0, 3], [0, 3], [0, 4], [1, 1], [1, 1], [1, 2], [1, 3], [3, 3]]
  232,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 1], [1, 2], [1, 3], [3, 5]]
  233,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 2], [1, 3], [1, 3], [5, 5]]
  234,  [[0, 3], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [1, 3], [5, 5]]
  235,  [[0, 0], [0, 3], [0, 4], [1, 1], [1, 1], [1, 3], [1, 3], [2, 5]]
  236,  [[0, 0], [0, 1], [0, 1], [1, 1], [1, 1], [2, 3], [3, 3], [3, 3]]
  237,  [[0, 0], [0, 0], [0, 1], [1, 1], [1, 1], [2, 3], [3, 3], [3, 4]]
  238,  [[0, 0], [0, 0], [0, 1], [1, 1], [1, 1], [1, 3], [3, 3], [3, 4]]
